"locale","district_id","name"
"th_TH","Khlong Toei","คลองเตย"
"th_TH","Khlong Tan","คลองตัน"
"th_TH","Phra Khanong","พระโขนง"
"th_TH","Khlong Ton Sai","คลองต้นไทร"
"th_TH","Khlong San","คลองสาน"
"th_TH","Bang Lamphu Lang","บางลำพูล่าง"
"th_TH","Somdet Chao Phraya","สมเด็จเจ้าพระยา"
"th_TH","Sai Kong Din","ทรายกองดิน"
"th_TH","Sai Kong Din Tai","ทรายกองดินใต้"
"th_TH","Bang Chan","บางชัน"
"th_TH","Sam Wa Tawan Tok","สามวาตะวันตก"
"th_TH","Sam Wa Tawan Ok","สามวาตะวันออก"
"th_TH","Khan Na Yao","คันนายาว"
"th_TH","Ram Inthra","รามอินทรา"
"th_TH","Sena Nikhom","เสนานิคม"
"th_TH","Chatuchak","จตุจักร"
"th_TH","Chom Phon","จอมพล"
"th_TH","Chan Kasem","จันทรเกษม"
"th_TH","Lat Yao","ลาดยาว"
"th_TH","Chom Thong","จอมทอง"
"th_TH","Bang Khun Thian","บางขุนเทียน"
"th_TH","Bang Kho","บางค้อ"
"th_TH","Bang Mot","บางมด"
"th_TH","Don Mueang","ดอนเมือง"
"th_TH","Sanam Bin","สนามบิน"
"th_TH","Si Kan","สีกัน"
"th_TH","Din Daeng","ดินแดง"
"th_TH","Dusit","ดุสิต"
"th_TH","Thanon Nakhon Chai Si","ถนนนครไชยศรี"
"th_TH","Wachiraphayaban","วชิรพยาบาล"
"th_TH","Suan Chittralada","สวนจิตรลดา"
"th_TH","Si Yaek Maha Nak","สี่แยกมหานาค"
"th_TH","Khlong Chak Phra","คลองชักพระ"
"th_TH","Chim Phli","ฉิมพลี"
"th_TH","Taling Chan","ตลิ่งชัน"
"th_TH","Bang Chueak Nang","บางเชือกหนัง"
"th_TH","Bang Phrom","บางพรม"
"th_TH","Bang Ramat","บางระมาด"
"th_TH","Thawi Watthana","ทวีวัฒนา"
"th_TH","Sala Thammasop","ศาลาธรรมสพน์"
"th_TH","Thung Khru","ทุ่งครุ"
"th_TH","Bang Mot","บางมด"
"th_TH","Dao Khanong","ดาวคะนอง"
